Î³,rs,V_2
0.1,1,1.1115
0.2,1,1.256
0.3,1,1.4575
0.4,1,1.7520000000000002
0.5,1,2.1875
0.6,1,2.824
0.7,1,3.7335
0.8,1,5.0
0.9,1,7.3427950000000015
1.0,1,11.0
0.1,0,0.0005000000000000001
0.2,0,0.008000000000000002
0.3,0,0.040499999999999994
0.4,0,0.12800000000000003
0.5,0,0.3125
0.6,0,0.6479999999999999
0.7,0,1.2004999999999997
0.8,0,2.0480000000000005
0.9,0,3.2805
1.0,0,5.0
0.1,-1,-1.1105
0.2,-1,-1.24
0.3,-1,-1.3765
0.4,-1,-1.496
0.5,-1,-1.5625
0.6,-1,-1.528
0.7,-1,-1.3325
0.8,-1,-0.9039999999999997
0.9,-1,-0.15849999999999997
1.0,-1,1.0
0.1,-4,-4.4435
0.2,-4,-4.984
0.3,-4,-5.6274999999999995
0.4,-4,-6.368
0.5,-4,-7.1875
0.6,-4,-8.056000000000001
0.7,-4,-8.9315
0.8,-4,-9.760000000000002
0.9,-4,-10.4755
1.0,-4,-11.0
